gameweek,season,name,deadline_time,average_score,highest_score,highest_scoring_entry,finished,data_checked,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,can_enter,can_manage,released,ranked_count,transfers_made,most_selected,most_transferred_in,top_element,top_element_info
17,2025/26,Gameweek 17,2025-12-20 11:00:00,66,148,6887913,t,t,f,f,f,t,t,f,f,t,12584041,16356600,,,107,"{'id': 107, 'points': 21}"
18,2025/26,Gameweek 18,2025-12-26 18:30:00,44,118,3080196,t,t,f,f,f,t,t,f,f,t,12620812,16835174,,,120,"{'id': 120, 'points': 20}"
19,2025/26,Gameweek 19,2025-12-30 18:00:00,40,112,6796894,t,t,f,f,f,t,t,f,f,t,12646658,15084299,,,303,"{'id': 303, 'points': 16}"
20,2025/26,Gameweek 20,2026-01-03 11:00:00,42,117,7324049,t,t,f,f,f,t,t,f,f,t,12668861,10282852,,,136,"{'id': 136, 'points': 17}"
21,2025/26,Gameweek 21,2026-01-06 18:30:00,48,118,1967626,t,t,f,f,f,t,t,f,f,t,12691406,10609899,,,487,"{'id': 487, 'points': 15}"
22,2025/26,Gameweek 22,2026-01-17 11:00:00,40,111,12542399,t,t,f,f,f,t,t,f,f,t,12727093,12244354,,,441,"{'id': 441, 'points': 15}"
23,2025/26,Gameweek 23,2026-01-24 11:00:00,44,115,943181,t,t,f,f,f,t,t,f,f,t,12748731,8986548,,,387,"{'id': 387, 'points': 13}"
24,2025/26,Gameweek 24,2026-01-31 13:30:00,55,126,2348034,t,t,f,f,f,t,t,f,f,t,12773603,14084799,,,18,"{'id': 18, 'points': 14}"
25,2025/26,Gameweek 25,2026-02-06 18:30:00,58,147,510899,t,t,f,f,f,t,t,f,f,t,12799155,10565045,,,235,"{'id': 235, 'points': 20}"
26,2025/26,Gameweek 26,2026-02-10 18:00:00,58,138,439887,t,t,f,f,f,t,t,f,f,t,12819444,10933870,,,373,"{'id': 373, 'points': 17}"
27,2025/26,Gameweek 27,2026-02-21 13:30:00,45,117,11253480,t,t,f,f,f,t,t,f,f,t,12846334,8668376,,,411,"{'id': 411, 'points': 17}"
28,2025/26,Gameweek 28,2026-02-27 18:30:00,53,125,9830298,t,t,f,f,f,t,t,f,f,t,12862786,8235195,,,121,"{'id': 121, 'points': 18}"
29,2025/26,Gameweek 29,2026-03-03 18:00:00,54,143,4150549,t,t,f,f,f,t,t,f,f,t,12878906,8012299,,,249,"{'id': 249, 'points': 19}"
30,2025/26,Gameweek 30,2026-03-14 13:30:00,43,110,11679396,t,t,f,f,f,t,t,f,f,t,12901883,7392015,,,55,"{'id': 55, 'points': 12}"
31,2025/26,Gameweek 31,2026-03-20 18:30:00,38,109,8715367,t,t,f,f,f,t,t,f,f,t,12914049,19361841,,,311,"{'id': 311, 'points': 16}"
32,2025/26,Gameweek 32,2026-04-10 17:30:00,46,132,13046216,t,t,f,f,f,t,t,f,f,t,12939182,11209415,,,606,"{'id': 606, 'points': 21}"
33,2025/26,Gameweek 33,2026-04-18 10:00:00,66,177,7284485,t,t,f,f,f,t,t,f,f,t,12949113,16755835,,,515,"{'id': 515, 'points': 20}"
34,2025/26,Gameweek 34,2026-04-24 17:30:00,36,114,867817,t,t,f,f,f,t,t,f,f,t,12958359,24247093,,,526,"{'id': 526, 'points': 14}"
35,2025/26,Gameweek 35,2026-05-01 17:30:00,50,129,2670562,t,t,f,f,f,t,t,f,f,t,12967903,8319244,,,527,"{'id': 527, 'points': 16}"
36,2025/26,Gameweek 36,2026-05-09 10:00:00,65,145,436924,t,t,f,f,f,t,t,f,f,t,12976450,9092077,,,145,"{'id': 145, 'points': 15}"
37,2025/26,Gameweek 37,2026-05-15 17:30:00,53,131,7322572,t,t,t,f,f,t,t,f,f,t,12983775,6365648,,,64,"{'id': 64, 'points': 15}"
1,2025/26,Gameweek 1,2025-08-15 17:30:00,54,127,3772644,t,t,f,f,f,f,f,f,f,t,9469118,0,,,531,"{'id': 531, 'points': 17}"
2,2025/26,Gameweek 2,2025-08-22 17:30:00,51,140,2963810,t,t,f,f,f,t,t,f,f,t,10752422,18178809,,,8,"{'id': 8, 'points': 24}"
